Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code ,Previous Purchases,Payment Mode,Frequency of Purchases
1,63,Female,T-Shirt,Clothing,2026,Ahmedabad,M,Maroon,Summer,3.7,Yes,Store Pickup,No,Yes,1,Cash,Weekly
2,51,Male,Sneakers,Footwear,4484,Bhopal,M,Pink,Spring,4.2,Yes,Express,No,No,17,UPI,Weekly
3,21,Female,Wallet,Accessories,812,Nagpur,L,Navy,Spring,4.2,No,Store Pickup,Yes,No,5,Credit Card,Monthly
4,61,Male,Watch,Accessories,395,Ahmedabad,L,Blue,Winter,4.5,No,Free Shipping,No,No,10,Credit Card,Annually
5,60,Male,Boots,Footwear,1421,Patna,M,Black,Autumn,2.5,Yes,Free Shipping,Yes,Yes,2,Credit Card,Quarterly
6,29,Female,Wallet,Accessories,1761,Kochi,XL,Beige,Autumn,1.6,Yes,Express,No,No,37,Netbanking,Annually
7,48,Female,Formal Shoes,Footwear,764,Delhi,S,Black,Winter,4.2,No,Store Pickup,Yes,No,24,Netbanking,Monthly
8,59,Male,Handbag,Accessories,4418,Jaipur,L,Blue,Spring,2.7,No,Standard,No,Yes,32,Cash,Annually
9,39,Male,Formal Shoes,Footwear,4438,Coimbatore,S,Navy,Spring,3,Yes,Free Shipping,No,Yes,3,UPI,Monthly
10,62,Female,Jeans,Clothing,586,Patna,M,Black,Autumn,4.8,Yes,Free Shipping,No,Yes,34,UPI,Annually
11,57,Female,Sweater,Outwear,3608,Coimbatore,XL,Blue,Winter,1.9,No,Standard,Yes,Yes,0,Cash,Fortnightly
12,18,Female,Sandals,Footwear,600,Coimbatore,M,Green,Autumn,1.9,Yes,Store Pickup,No,Yes,50,Netbanking,Quarterly
13,22,Female,Sandals,Footwear,2922,Bhopal,XL,Pink,Summer,3.7,Yes,Standard,No,No,6,UPI,Weekly
14,24,Female,Sports Shoes,Footwear,1523,Jaipur,XL,White,Summer,2.8,Yes,Standard,Yes,Yes,48,UPI,Weekly
